batch:4, sm:5, quota:10, latency:[378.48178]
batch:4, sm:5, quota:20, latency:[230.42125]
batch:4, sm:5, quota:30, latency:[235.99535]
batch:4, sm:5, quota:40, latency:[232.52158]
batch:4, sm:5, quota:50, latency:[233.95937]
batch:4, sm:5, quota:60, latency:[239.76804]
batch:4, sm:5, quota:70, latency:[237.86646]
batch:4, sm:5, quota:80, latency:[237.0988]
batch:4, sm:5, quota:90, latency:[238.57202]
batch:4, sm:5, quota:100, latency:[239.82901]
batch:4, sm:10, quota:10, latency:[389.7151]
batch:4, sm:10, quota:20, latency:[140.03917]
batch:4, sm:10, quota:30, latency:[132.8587]
batch:4, sm:10, quota:40, latency:[134.92007]
batch:4, sm:10, quota:50, latency:[131.30794]
batch:4, sm:10, quota:60, latency:[132.67372]
batch:4, sm:10, quota:70, latency:[130.3218]
batch:4, sm:10, quota:80, latency:[128.02916]
batch:4, sm:10, quota:90, latency:[128.28856]
batch:4, sm:10, quota:100, latency:[128.93309]
batch:4, sm:15, quota:10, latency:[392.77612]
batch:4, sm:15, quota:20, latency:[145.23788]
batch:4, sm:15, quota:30, latency:[92.22039]
batch:4, sm:15, quota:40, latency:[80.791794]
batch:4, sm:15, quota:50, latency:[80.755226]
batch:4, sm:15, quota:60, latency:[82.052536]
batch:4, sm:15, quota:70, latency:[81.05973]
batch:4, sm:15, quota:80, latency:[79.124306]
batch:4, sm:15, quota:90, latency:[78.72701]
batch:4, sm:15, quota:100, latency:[77.913605]
batch:4, sm:20, quota:10, latency:[393.2943]
batch:4, sm:20, quota:20, latency:[145.81815]
batch:4, sm:20, quota:30, latency:[94.81117]
batch:4, sm:20, quota:40, latency:[70.142525]
batch:4, sm:20, quota:50, latency:[63.255936]
batch:4, sm:20, quota:60, latency:[64.34833]
batch:4, sm:20, quota:70, latency:[63.18751]
batch:4, sm:20, quota:80, latency:[62.655895]
batch:4, sm:20, quota:90, latency:[63.38856]
batch:4, sm:20, quota:100, latency:[63.731964]
batch:4, sm:25, quota:10, latency:[392.3064]
batch:4, sm:25, quota:20, latency:[145.66585]
batch:4, sm:25, quota:30, latency:[94.93179]
batch:4, sm:25, quota:40, latency:[69.88758]
batch:4, sm:25, quota:50, latency:[54.375942]
batch:4, sm:25, quota:60, latency:[53.44964]
batch:4, sm:25, quota:70, latency:[51.12289]
batch:4, sm:25, quota:80, latency:[50.13034]
batch:4, sm:25, quota:90, latency:[51.44375]
batch:4, sm:25, quota:100, latency:[51.82149]
batch:4, sm:30, quota:10, latency:[390.93372]
