epoch,step,test_loss,train_loss,val_loss
0,45389,,,0.058347541838884354
0,45389,,0.057877421379089355,
1,90779,,,0.05420543625950813
1,90779,,0.058032020926475525,
2,136169,,,0.05646747350692749
2,136169,,0.057493504136800766,
3,181559,,,0.05563494563102722
3,181559,,0.05868969485163689,
4,226949,,,0.05600356310606003
4,226949,,0.058052390813827515,
5,272339,,,0.05432639643549919
5,272339,,0.0583253838121891,
6,317729,,,0.052500784397125244
6,317729,,0.05651553347706795,
7,363119,,,0.05199926719069481
7,363119,,0.05634025111794472,
8,408509,,,0.05736587941646576
8,408509,,0.05645366385579109,
9,453899,,,0.05397724732756615
9,453899,,0.05706467479467392,
10,499289,,,0.05726700276136398
10,499289,,0.05595948547124863,
11,544679,,,0.05473523586988449
11,544679,,0.057179950177669525,
12,590069,,,0.048895213752985
12,590069,,0.05532734841108322,
13,635459,,,0.05750594288110733
13,635459,,0.05605223402380943,
14,680849,,,0.06570211052894592
14,680849,,0.05687730014324188,
15,726239,,,0.059731174260377884
15,726239,,0.05651719495654106,
16,771629,,,0.05921170115470886
16,771629,,0.05554303526878357,
17,817019,,,0.05460137128829956
17,817019,,0.055678628385066986,
18,862409,,,0.052509013563394547
18,862409,,0.05681954696774483,
19,907799,,,0.051919110119342804
19,907799,,0.056224510073661804,
20,953189,,,0.051907263696193695
20,953189,,0.056417305022478104,
21,998579,,,0.05680837482213974
21,998579,,0.05700099840760231,
22,1043969,,,0.05643628165125847
22,1043969,,0.05706018581986427,
23,1089359,,,0.055182043462991714
23,1089359,,0.05652393400669098,
24,1134749,,,0.054952990263700485
24,1134749,,0.05602674558758736,
25,1180139,,,0.0576954185962677
25,1180139,,0.055884890258312225,
26,1225529,,,0.049083199352025986
26,1225529,,0.05718039721250534,
27,1270919,,,0.0577613040804863
27,1270919,,0.055070843547582626,
28,1316309,,,0.05127894878387451
28,1316309,,0.054895445704460144,
29,1361699,,,0.05078442767262459
29,1361699,,0.05564418435096741,
30,1407089,,,0.05502878874540329
30,1407089,,0.05573958158493042,
31,1452479,,,0.0557701475918293
31,1452479,,0.055276960134506226,
32,1497869,,,0.051214177161455154
32,1497869,,0.0548185370862484,
33,1543259,,,0.05820423364639282
33,1543259,,0.05457818880677223,
34,1588649,,,0.053215861320495605
34,1588649,,0.0542207807302475,
35,1634039,,,0.05135537311434746
35,1634039,,0.0546434260904789,
36,1679429,,,0.058122195303440094
36,1679429,,0.054632458835840225,
37,1724819,,,0.05359216034412384
37,1724819,,0.05459237098693848,
38,1770209,,,0.08245497196912766
38,1770209,,0.05454375967383385,
39,1815599,,,0.05338452383875847
39,1815599,,0.05549096316099167,
40,1860989,,,0.07580447196960449
40,1860989,,0.05351365730166435,
41,1906379,,,0.06099715083837509
41,1906379,,0.05675971508026123,
42,1951769,,,0.05177219584584236
42,1951769,,0.05378749966621399,
43,1997159,,,0.054818045347929
43,1997159,,0.053732190281152725,
44,2042549,,,0.04727513715624809
44,2042549,,0.0558524914085865,
45,2087939,,,0.07153600454330444
45,2087939,,0.05350426584482193,
46,2133329,,,0.052789896726608276
46,2133329,,0.05352907255291939,
47,2178719,,,0.052593592554330826
47,2178719,,0.05498912185430527,
48,2224109,,,0.04716955125331879
48,2224109,,0.05400215834379196,
49,2269499,,,0.053599901497364044
49,2269499,,0.05272179841995239,
50,2314889,,,0.053858883678913116
50,2314889,,0.05381476879119873,
51,2360279,,,0.05716695636510849
51,2360279,,0.05348958820104599,
52,2405669,,,0.055234044790267944
52,2405669,,0.05273140221834183,
53,2451059,,,0.05226912349462509
53,2451059,,0.053264982998371124,
54,2496449,,,0.05327361077070236
54,2496449,,0.05280567705631256,
55,2541839,,,0.053680527955293655
55,2541839,,0.05300106853246689,
56,2587229,,,0.05086074396967888
56,2587229,,0.05296558514237404,
57,2632619,,,0.0536232553422451
57,2632619,,0.052946995943784714,
58,2678009,,,0.05101673677563667
58,2678009,,0.05256146565079689,
59,2723399,,,0.053088486194610596
59,2723399,,0.052826885133981705,
60,2768789,,,0.056162767112255096
60,2768789,,0.05299334600567818,
61,2814179,,,0.04979134351015091
61,2814179,,0.05359799414873123,
62,2859569,,,0.052216142416000366
62,2859569,,0.05334373563528061,
63,2904959,,,0.05907054245471954
63,2904959,,0.05333761125802994,
64,2950349,,,0.054466743022203445
64,2950349,,0.053989656269550323,
65,2995739,,,0.05463167279958725
65,2995739,,0.05229621380567551,
66,3041129,,,0.05322323739528656
66,3041129,,0.05213000625371933,
67,3086519,,,0.046963512897491455
67,3086519,,0.05262351408600807,
68,3131909,,,0.04817506670951843
68,3131909,,0.05448305606842041,
69,3177299,,,0.0481705516576767
69,3177299,,0.05322546511888504,
70,3222689,,,0.050359319895505905
70,3222689,,0.05235780030488968,
71,3268079,,,0.05086565762758255
71,3268079,,0.05234160274267197,
72,3313469,,,0.05295686051249504
72,3313469,,0.05210466682910919,
73,3358859,,,0.05982626602053642
73,3358859,,0.052045080810785294,
74,3404249,,,0.052417099475860596
74,3404249,,0.05200626701116562,
75,3449639,,,0.053198911249637604
75,3449639,,0.051893915981054306,
76,3495029,,,0.04938381910324097
76,3495029,,0.051387690007686615,
77,3540419,,,0.04841195046901703
77,3540419,,0.051757197827100754,
78,3585809,,,0.05424359068274498
78,3585809,,0.05161861702799797,
79,3631199,,,0.061109255999326706
79,3631199,,0.052440617233514786,
80,3676589,,,0.05358206480741501
80,3676589,,0.05197117105126381,
81,3721979,,,0.05381286144256592
81,3721979,,0.05128554254770279,
82,3767369,,,0.05715874955058098
82,3767369,,0.05277404189109802,
83,3812759,,,0.046957533806562424
